Experience,Category,Medium,Immersion Type,Hedonic–Eudaimonic Score (0–100),Description,Link
Untitled Goose Game,Game,PC / Console Game,"Playful, Disruptive, Humor",10,"A slapstick stealth game focused on mischievous play, low-stakes goals, and comic timing rather than reflection or meaning-making.",https://goose.game/
Katamari Damacy REROLL,Game,PC / Console Game,"Absurd, Kinetic, Sensory",12,"An exuberant, physics-driven game where pleasure comes from motion, music, and absurd accumulation rather than narrative depth.",https://store.steampowered.com/app/848350/Katamari_Damacy_REROLL/
Fall Guys,Game,PC / Console Game,"Competitive, Kinetic, Social",15,"A brightly colored multiplayer party game emphasizing chaos, spectacle, and moment-to-moment enjoyment over narrative coherence.",https://www.fallguys.com/
Rocket League,Game,PC / Console Game,"Skill-Based, Competitive, Fast-Paced",18,"A high-energy sports game where pleasure comes from mastery, speed, and spectacle rather than story or interpretation.",https://www.rocketleague.com/
Mario Kart 8 Deluxe,Game,Console Game,"Competitive, Playful, Sensory",20,"A colorful racing game prioritizing excitement, chaos, and replayability over reflective narrative engagement.",https://mariokart8.nintendo.com/
Beat Saber,Game,VR Game,"Embodied, Rhythmic, Kinetic",20,"A VR rhythm game focused on physical engagement, music, and reflex-based pleasure rather than story.",https://beatsaber.com/
Tetris Effect,Game,PC / Console Game,"Audiovisual, Flow-State",25,"A classic puzzle game enhanced with immersive visuals and sound, producing pleasure and flow with minimal narrative interpretation.",https://www.tetriseffect.game/
The Stanley Parable (Ultra Deluxe),Game,PC Game,Metanarrative; Spatial,30,A first-person exploration game that humorously deconstructs player choice and narrative authority through an unreliable narrator.,https://www.stanleyparable.com/
The Johnny Cash Project,Interactive Art,Web,Collective; Audiovisual,40,A crowdsourced music video built from thousands of user-drawn frames.,https://www.thejohnnycashproject.com/
This Is Sand,Interactive Art,Web,"Tactile, Meditative, Playful",40,"A calming, interactive digital sand painting experience focused on touch, flow, and experimentation.",https://thisissand.com/
Expanse,Immersive Art Tool,VR / XR Tool,"Generative, Spatial, Abstract",40,A real-time generative art environment that allows users to move through and manipulate evolving abstract forms.,https://generated.space/sketch/expanse/
Open Brush,Immersive Art Tool,VR Tool,"Spatial Drawing, Embodied Creation",45,"An open-source VR painting tool that enables embodied, three-dimensional drawing and creative exploration.",https://openbrush.app/
Google Arts & Culture Experiments,Interactive Art Platform,Web,"Generative, Playful, Exploratory",45,"A collection of playful, interactive art and AI-driven experiments emphasizing exploration and visual curiosity.",https://experiments.withgoogle.com/collection/arts-culture
80 Days,Game,PC Game,Exploration; Choice,50,A replayable interactive narrative reimagining global travel through branching stories.,https://www.inklestudios.com/80days/
Google Arts & Culture Experiments,Interactive Art Platform,Web,"Playful, Generative, Exploratory",50,"A large collection of browser-based interactive artworks using AI, vision, sound, and play, designed for exploration and curiosity.",https://experiments.withgoogle.com/collection/arts-culture
p5.js Sketch Gallery,Interactive Art Platform,Web,"Generative, Participatory, Exploratory",50,"A gallery of interactive generative artworks built with p5.js that invite users to play, explore, and remix.",https://p5js.org/sketches/
The Johnny Cash Project,Interactive Art,Web,"Participatory, Audiovisual, Collective",50,"A crowdsourced, interactive music video project where users contribute hand-drawn frames to a collective artwork.",https://www.thejohnnycashproject.com/
teamLab Borderless (Documentation),Interactive Art Installation,Gallery / Web Documentation,"Responsive, Environmental, Immersive",50,Large-scale digital installations where visuals respond dynamically to viewer movement and presence.,https://www.teamlab.art/
p5.js Sketch Gallery,Interactive Art Platform,Web,"Generative, Participatory",50,"A gallery of interactive, generative artworks created with p5.js that invite playful interaction and exploration.",https://editor.p5js.org/explore
The Beginner’s Guide,Game,PC Game,Walking Simulator; Metafiction,55,"An exploratory game presenting unfinished games while questioning authorship, interpretation, and projection.",https://store.steampowered.com/app/303210/The_Beginners_Guide/
Her Story,Game,PC Game,Archival; Search-Based,55,A database-driven mystery where players reconstruct a fragmented story by searching police interview clips.,https://www.herstorygame.com/
A Dark Room,Game,Browser/PC Game,Minimalist; Systems,60,A minimalist text-driven experience that begins as resource management and gradually reveals an unsettling emergent narrative.,https://adarkroom.doublespeakgames.com/
Gone Home,Game,PC Game,Environmental; Archival,60,"A narrative exploration of a house where story emerges through objects, notes, and spatial investigation.",https://gonehome.com/
Radio Garden,Interactive Audio Map,Web,"Exploratory, Place-Based, Audio",60,"A globe-based interface that allows users to listen to live radio stations worldwide, creating emergent place-based narratives.",https://radio.garden/
All the Delicate Duplicates,Game,PC Game,Textual; Spatial,65,"An experimental narrative that embeds language in space, encouraging reinterpretation through repetition.",https://store.steampowered.com/app/531140/All_the_Delicate_Duplicates/
We Feel Fine,Interactive Data Art,Web,"Emotional, Data-Driven, Exploratory",65,"An interactive visualization that collects and displays emotional statements from across the web, forming a collective emotional narrative.",http://wefeelfine.org/
Tacoma,Game,PC Game,Temporal; Archival,70,A sci-fi narrative reconstructed through augmented reality recordings of a space station crew.,https://store.steampowered.com/app/343860/Tacoma/
Return of the Obra Dinn,Game,PC Game,Investigative; Ethical,70,A deduction-based mystery where players determine the fates of a ship’s crew through fragmented scenes.,https://obradinn.com/
Heaven’s Vault,Game,PC Game,Translation; Archaeology,70,A narrative adventure centered on deciphering ancient languages and interpreting lost histories.,https://www.inklestudios.com/heavensvault/
Sunless Sea,Game,PC Game,Exploration; Cosmic Horror,75,A gothic exploration game where narrative unfolds through lore fragments and existential risk.,https://www.failbettergames.com/games/sunless-sea/
Welcome to Pine Point,Interactive Documentary,Web,Memoir; Place-Based,75,A multimedia memoir about a vanished mining town and the memories it left behind.,https://www.nfb.ca/interactive/welcome-to-pine-point/
The World in Ten Blocks,Interactive Documentary,Web,Place-Based; Walking Narrative,75,An interactive walking tour revealing layered stories from a single urban neighborhood.,https://theworldintenblocks.com/interactive/1/
